Id,Name,LastOrderAmount,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastPurchasedDate,LastVendorId
2,Pepper Jack,1,Dairy,CASE 20lb,0,5lb BAG,4,OZ-wt,80,1,46.99,11/15/2017 12:00:00 AM,0
11,Pesto,1,Dairy,2/22lb,1,BAG,2,OZ-wt,4,970000,106,11/15/2017 12:00:00 AM,0
13,Pizza Sauce,1,Grocery,6# CANS,2,CAN,6,EA,6,100,21.75,11/15/2017 12:00:00 AM,0
14,Stewed Tomatoes,1,Grocery,6# CANS,3,CAN,6,EA,6,100,15.47,11/15/2017 12:00:00 AM,0
19,Mayonnaise,1,Grocery,4 GAL,2,JUG,4,EA,4,10000,25.75,11/15/2017 12:00:00 AM,0
21,Macaroni,5,Grocery,20lb CASE,2,BAG,2,EA,160,2.39,17.72,11/15/2017 12:00:00 AM,0
24,Chopped Clams,1,Grocery,12x48oz CANS,15,CAN,12,EA,12,100,115.5,11/15/2017 12:00:00 AM,0
25,Tomato Juice,1,Grocery,12x48oz CANS,11,CAN,12,EA,12,100,15.79,11/15/2017 12:00:00 AM,0
26,Clam Juice,0,Grocery,12x48oz CANS,17,CAN,12,EA,12,100,39.27,11/15/2017 12:00:00 AM,0
36,Olive Oil,2,Grocery,6 GAL,2.6,JUG,6,OZ-fl,128,99,50.8,11/15/2017 12:00:00 AM,0
54,Yellow Onions,5,Produce,20lbs,0,BAG,4,OZ-wt,800,85,16.95,11/15/2017 12:00:00 AM,0
55,Red Onions,1,Produce,25lb,0.5,BAG,1,OZ-wt,400,8500,13.89,11/15/2017 12:00:00 AM,0
56,Potatoes,1,Produce,50lb,0.75,1/2 CASE,1,OZ-wt,800,850000,13.79,11/15/2017 12:00:00 AM,0
57,Spinach,3,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,15.79,11/15/2017 12:00:00 AM,0
58,Mixed Greens,1,Produce,3lb,1,BAG,1,OZ-wt,48,9800,5.99,11/15/2017 12:00:00 AM,0
61,Tomatoes,1,Produce,25lb,0.5,CASE,1,OZ-wt,400,0.95,17.9,11/15/2017 12:00:00 AM,0
64,Fresh Basil,1,Produce,1lb,0.25,BAG,1,OZ-wt,16,65,8.99,11/15/2017 12:00:00 AM,0
71,Garlic Peeled,1,Produce,5lbs,0,JAR,1,OZ-wt,114.29,98,18.63,11/15/2017 12:00:00 AM,0
72,Chicken Breast,4,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,42.99,11/15/2017 12:00:00 AM,0
74,Italian Sausage,3,Meats,20lb CASE,13,BAG,4,OZ-wt,160,91,47.95,11/15/2017 12:00:00 AM,0
75,Bacon Bits,3,Meats,10lb CASE,0,BAG,2,OZ-wt,160,100,54.99,11/15/2017 12:00:00 AM,0
