Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
1,Cheddar,Dairy,CASE 20lb,8,5lb BAG,4,OZ-wt,320,1,43.65,1,4/16/2017 12:00:00 AM,
2,Pepper Jack,Dairy,CASE 20lb,6,5lb BAG,4,OZ-wt,320,1,43.78,1,4/16/2017 12:00:00 AM,
4,Butter,Dairy,CASE 30lb,31,1lb,30,OZ-wt,480,1,76.99,1,4/16/2017 12:00:00 AM,
9,Whole Milk,Dairy,2 GALLON,33,GALLON,4,CUP,32,1,14.04,1,4/16/2017 12:00:00 AM,
11,Pesto,Dairy,4/33.5,3,BUCKET,4,OZ-wt,4,0.97,106,1,4/16/2017 12:00:00 AM,
25,Tomato Juice,Dry Goods,12x48oz CANS,14,CAN,12,EA,12,1,13.24,1,4/16/2017 12:00:00 AM,
36,Olive Oil,Dry Goods,6 GAL,2.1,JUG,6,OZ-fl,768,0.99,50.01,3,4/16/2017 12:00:00 AM,
54,Yellow Onions,Produce,50lb,0,BAG,1,OZ-wt,800,0.85,10.5,4,4/16/2017 12:00:00 AM,
55,Red Onions,Produce,6# CANS,2,BAG,1,OZ-wt,400,0.85,8.5,1,4/16/2017 12:00:00 AM,
56,Potatoes,Produce,40lb CASE,0.9,1/2 CASE,1,OZ-wt,800,0.85,9.99,1,4/16/2017 12:00:00 AM,
57,Spinach,Produce,6 1/2 Gallon,3,BAG,4,OZ-wt,160,0.99,13.5,2,4/16/2017 12:00:00 AM,
58,Mixed Greens,Produce,15 DOZEN,1,BAG,1,OZ-wt,48,0.98,5.99,2,4/16/2017 12:00:00 AM,
59,Mushrooms,Produce,6# CANS,0,FLAT,1,OZ-wt,160,0.95,18,7,4/16/2017 12:00:00 AM,
61,Tomatoes,Produce,6# CANS,0,CASE,1,OZ-wt,400,0.97,9.35,3,4/16/2017 12:00:00 AM,
62,Avocado,Produce,6# CANS,18,EACH,24,EA,24,1,35,1,4/16/2017 12:00:00 AM,
64,Fresh Basil,Produce,4 GAL,1.5,BAG,1,OZ-wt,16,0.65,5,2,4/16/2017 12:00:00 AM,
71,Garlic Peeled,Produce,12 EACH,0.75,JAR,1,OZ-wt,114.29,0.98,17,2,4/16/2017 12:00:00 AM,
72,Chicken Breast,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,0.85,47.99,2,4/16/2017 12:00:00 AM,
73,Ground Beef,Meats,20lb CASE,4,LOG,2,EA,2,1,61,2,4/16/2017 12:00:00 AM,
74,Italian Sausage,Meats,10lb CASE,8,BAG,2,OZ-wt,160,0.91,42.5,6,4/16/2017 12:00:00 AM,
75,Bacon Bits,Meats,10lb CASE,0,BAG,2,OZ-wt,160,1,51,2,4/16/2017 12:00:00 AM,
78,Biopack #4,Paper Goods,1 Gal,6,Stack,4,Each,40,40,10.2,5,4/16/2017 12:00:00 AM,
79,Water Cups,Paper Goods,24oz,18,Sleeve,25,1,2500,100,7.71,1,4/16/2017 12:00:00 AM,
80,Soufle Lids,Paper Goods,2lbs,19,Sleeve,25,1,1,100,13.3,1,4/16/2017 12:00:00 AM,
81,Soufle Cups,Paper Goods,1lb,9,Sleeve,10,1,1,100,10.3,1,4/16/2017 12:00:00 AM,
82,Large To-Go Bags,Paper Goods,4.5lbs,0.5,Case,1,1,1,100,29.37,1,4/16/2017 12:00:00 AM,
83,Spoons (compostable),Paper Goods,,2,Sleeve,20,1,1,100,0,1,4/16/2017 12:00:00 AM,
84,Forks (compostable),Paper Goods,5lbs,1,Sleeve,20,1,1,100,45,1,4/16/2017 12:00:00 AM,
85,Wax Paper Sheets,Paper Goods,25lbs,2,Stack,6,1,1,100,5.12,1,4/16/2017 12:00:00 AM,
86,Ceramawrap,Paper Goods,6# CANS,1,Roll,1,1,1,100,53.22,1,4/16/2017 12:00:00 AM,
87,Foil Roll,Paper Goods,6 1/2 Gallon,1,1,1,1,1,100,41.5,1,4/16/2017 12:00:00 AM,
88,Small To-Go Bags,Paper Goods,15 DOZEN,1.25,Case,1,1,1,100,16.5,1,4/16/2017 12:00:00 AM,
89,Die-Cut To-Go Bags,Paper Goods,6# CANS,0.4,Case,1,1,1,100,20.94,1,4/16/2017 12:00:00 AM,
90,Paper Towels,Paper Goods,6# CANS,19,Sleeve,16,1,1,100,14.94,1,4/16/2017 12:00:00 AM,
91,To-Go Soup Lids,Paper Goods,6# CANS,6,Sleeve,10,1,1,100,25.78,1,4/16/2017 12:00:00 AM,
92,To-Go Soup Bowls (12oz),Paper Goods,6# CANS,5,Sleeve,10,1,1,100,25,1,4/16/2017 12:00:00 AM,
93,To-Go Soup Bowls (16oz),Paper Goods,6# CANS,2,Sleeve,10,1,1,100,23,1,4/16/2017 12:00:00 AM,
94,Vinyl Gloves (Large),Paper Goods,4 GAL,2,Box,10,1,1,100,22.89,1,4/16/2017 12:00:00 AM,
95,Napkins,Paper Goods,CS 39.5lbs,12,Stack,12,1,1,100,42.34,1,4/16/2017 12:00:00 AM,
96,Dried Pinto Beans,Grocery,2lb,12,Quart,26.6667,8,8,100,17.5,1,4/16/2017 12:00:00 AM,
97,Dried Black Beans,Grocery,6# CANS,4,Quart,27.414,3.5,1,100,36.09,1,4/16/2017 12:00:00 AM,
