Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
11,Pesto,Dairy,2/22lb,2,BAG,2,OZ-wt,4,970000,106,1,11/5/2017 12:00:00 AM,0
13,Pizza Sauce,Grocery,6# CANS,5,CAN,6,EA,6,100,21.75,1,11/5/2017 12:00:00 AM,0
14,Stewed Tomatoes,Grocery,6# CANS,6,CAN,6,EA,6,100,15.47,2,11/5/2017 12:00:00 AM,0
19,Mayonnaise,Grocery,4 GAL,1,JUG,4,EA,4,10000,25.75,1,11/5/2017 12:00:00 AM,0
21,Macaroni,Grocery,20lb CASE,2,BAG,2,EA,160,1,17.72,5,11/5/2017 12:00:00 AM,0
23,Roasted Bell Peppers,Grocery,6# CANS,14,CAN,6,OZ-wt,360,98,37.44,2,11/5/2017 12:00:00 AM,0
25,Tomato Juice,Grocery,12x48oz CANS,36,CAN,12,EA,12,100,15.79,3,11/5/2017 12:00:00 AM,0
36,Olive Oil,Grocery,6 GAL,3,JUG,6,OZ-fl,128,99,50.8,2,11/5/2017 12:00:00 AM,0
54,Yellow Onions,Produce,50lb,24,BAG,1,OZ-wt,800,85,16.95,2,11/5/2017 12:00:00 AM,0
57,Spinach,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,15.79,2,11/5/2017 12:00:00 AM,0
58,Mixed Greens,Produce,3lb,0,BAG,1,OZ-wt,48,9800,5.99,2,11/5/2017 12:00:00 AM,0
60,Cucumbers,Produce,36 COUNT,0,CASE,1,OZ-wt,420,950000,24.02,1,11/5/2017 12:00:00 AM,0
61,Tomatoes,Produce,25lb,0.5,CASE,1,OZ-wt,400,0.95,29.24,2,11/5/2017 12:00:00 AM,0
62,Avocado,Produce,60 COUNT,0,EACH,60,EA,24,10000,47.64,1,11/5/2017 12:00:00 AM,0
64,Fresh Basil,Produce,1lb,3,BAG,1,OZ-wt,16,65,8.99,2,11/5/2017 12:00:00 AM,0
66,Pineapple,Produce,6 COUNT,3,EACH,6,OZ-wt,44,100,16.99,1,11/5/2017 12:00:00 AM,0
71,Garlic Peeled,Produce,5lbs,0,JAR,1,OZ-wt,114.29,98,18.63,1,11/5/2017 12:00:00 AM,0
73,Ground Beef,Meats,20lb CASE,5,LOG,2,EA,2,10000,42.295,2,11/5/2017 12:00:00 AM,0
74,Italian Sausage,Meats,20lb CASE,17.5,BAG,4,OZ-wt,160,91,47.95,3,11/5/2017 12:00:00 AM,0
75,Bacon Bits,Meats,10lb CASE,2,BAG,2,OZ-wt,160,100,54.99,3,11/5/2017 12:00:00 AM,0
