Id,Name,LastOrderAmount,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastPurchasedDate,LastVendorId
0,Mozzarella,1,Dairy,CASE 30lb,3,5lb BAG,6,OZ-wt,480,1,73.95,9/6/2017 12:00:00 AM,0
1,Cheddar,2,Dairy,CASE 20lb,6,5lb BAG,4,OZ-wt,320,1,48.23,9/6/2017 12:00:00 AM,0
4,Butter,1,Dairy,CASE 30lb,14,1lb,30,OZ-wt,480,1,91.85,9/6/2017 12:00:00 AM,0
11,Pesto,1,Dairy,2/22lb,1,BAG,2,OZ-wt,4,970000,106,9/6/2017 12:00:00 AM,0
19,Mayonnaise,1,Grocery,4 GAL,4,JUG,4,EA,4,10000,24.95,9/6/2017 12:00:00 AM,0
20,BBQ Sauce,1,Grocery,CS 39.5lbs,3,JUG,4,OZ-wt,632,9800,42.79,9/6/2017 12:00:00 AM,0
25,Tomato Juice,1,Grocery,12x48oz CANS,21,CAN,12,EA,12,100,15.79,9/6/2017 12:00:00 AM,0
36,Olive Oil,1,Grocery,6 GAL,6,JUG,6,OZ-fl,768,99,50.8,9/6/2017 12:00:00 AM,0
54,Yellow Onions,3,Produce,50lb,1,BAG,1,OZ-wt,800,85,13.76,9/6/2017 12:00:00 AM,0
55,Red Onions,1,Produce,25lb,0.5,BAG,1,OZ-wt,400,8500,12.99,9/6/2017 12:00:00 AM,0
56,Potatoes,1,Produce,50lb,1.25,1/2 CASE,1,OZ-wt,800,850000,13.88,9/6/2017 12:00:00 AM,0
57,Spinach,2,Produce,4x2.5lb,2,BAG,4,OZ-wt,160,99,15.79,9/6/2017 12:00:00 AM,0
58,Mixed Greens,2,Produce,3lb,0,BAG,1,OZ-wt,48,9800,5.99,9/6/2017 12:00:00 AM,0
59,Mushrooms,4,Produce,10lb CASE,2,FLAT,1,OZ-wt,160,95,18.95,9/6/2017 12:00:00 AM,0
61,Tomatoes,1,Produce,25lb,0.25,CASE,1,OZ-wt,400,97,14.75,9/6/2017 12:00:00 AM,0
62,Avocado,1,Produce,60 COUNT,16,EACH,60,EA,24,10000,75.94,9/6/2017 12:00:00 AM,0
72,Chicken Breast,3,Poultry,40lb CASE,0,CASE,1,OZ-wt,640,85,65.79,9/6/2017 12:00:00 AM,0
74,Italian Sausage,2,Meats,20lb CASE,9,BAG,4,OZ-wt,160,91,46.95,9/6/2017 12:00:00 AM,0
75,Bacon Bits,1,Meats,10lb CASE,2,BAG,2,OZ-wt,160,100,53.99,9/6/2017 12:00:00 AM,0
