Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,CASE 30lb,4,5lb BAG,6,OZ-wt,80,1,54.3,2,2/16/2018 12:00:00 AM,0
1,Cheddar,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,80,1,42.24,1,2/16/2018 12:00:00 AM,0
4,Butter,Dairy,CASE 30lb,17,1lb,30,OZ-wt,16,1,85.88,1,,6
13,Pizza Sauce,Grocery,6# CANS,3,CAN,6,EA,6,100,22,1,2/15/2018 2:38:32 PM,0
21,Macaroni,Grocery,20lb CASE,4,BAG,2,EA,160,2.41,19.82,4,2/16/2018 12:00:00 AM,0
25,Tomato Juice,Grocery,12x48oz CANS,24,CAN,12,EA,12,100,15.79,3,2/16/2018 12:00:00 AM,0
34,Canola Oil,Grocery,35lb JUG,1.1,JUG,1,OZ-wt,800,99,25.05,1,2/15/2018 2:38:32 PM,0
36,Olive Oil,Grocery,6 GAL,8,JUG,6,OZ-fl,128,1,49.95,1,2/16/2018 12:00:00 AM,0
49,Salt,Herbs,EA,0.2,Container,1,TBL,615,1,5.9,1,1/29/2018 12:00:00 AM,0
55,Red Onions,Produce,25lb,0.6,BAG,1,OZ-wt,400,8500,11.99,1,2/12/2018 12:00:00 AM,0
56,Potatoes,Produce,50lb,0.5,1/2 CASE,1,OZ-wt,800,850000,19.99,1,2/16/2018 12:00:00 AM,0
57,Spinach,Produce,4x2.5lb,6,BAG,4,OZ-wt,160,99,16.5,2,2/16/2018 12:00:00 AM,0
58,Mixed Greens,Produce,3lb,0,BAG,1,OZ-wt,48,9800,5.99,1,2/16/2018 12:00:00 AM,0
59,Mushrooms,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,16.9,4,2/12/2018 12:00:00 AM,0
61,Tomatoes,Produce,25lb,0,CASE,1,OZ-wt,400,0.95,16.71,1,2/16/2018 12:00:00 AM,0
64,Fresh Basil,Produce,1lb,0,BAG,1,OZ-wt,16,65,8.99,1,2/15/2018 2:38:32 PM,0
66,Pineapple,Produce,6 COUNT,1,EACH,6,OZ-wt,44,100,16.99,1,2/15/2018 2:38:32 PM,0
72,Chicken Breast,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,42.53,2,2/16/2018 12:00:00 AM,0
74,Italian Sausage,Meats,20lb CASE,11,BAG,4,OZ-wt,160,91,47.5,3,2/12/2018 12:00:00 AM,0
75,Bacon Bits,Meats,10lb CASE,0,BAG,2,OZ-wt,80,1,49.99,3,2/16/2018 12:00:00 AM,0
97,Dried Black Beans,Grocery,50lbs,8,Quart,27.414,3.5,1,100,36.99,1,,2
