Id,Name,LastOrderAmount,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastPurchasedDate,LastVendorId
0,Mozzarella,1,Dairy,CASE 30lb,3,5lb BAG,6,OZ-wt,480,1,69.75,6/4/2017 12:00:00 AM,0
0,Mozzarella,1,Dairy,CASE 30lb,3,5lb BAG,6,OZ-wt,480,1,69.75,6/4/2017 12:00:00 AM,0
1,Cheddar,1,Dairy,CASE 20lb,8,5lb BAG,4,OZ-wt,320,1,47,6/4/2017 12:00:00 AM,0
1,Cheddar,1,Dairy,CASE 20lb,8,5lb BAG,4,OZ-wt,320,1,47,6/4/2017 12:00:00 AM,0
14,Stewed Tomatoes,1,Grocery,6# CANS,5,CAN,6,EA,6,100,14.97,6/4/2017 12:00:00 AM,0
14,Stewed Tomatoes,1,Grocery,6# CANS,5,CAN,6,EA,6,100,14.97,6/4/2017 12:00:00 AM,0
19,Mayonnaise,1,Grocery,4 GAL,3,JUG,4,EA,4,10000,23.79,6/4/2017 12:00:00 AM,0
19,Mayonnaise,1,Grocery,4 GAL,3,JUG,4,EA,4,10000,23.79,6/4/2017 12:00:00 AM,0
23,Roasted Bell Peppers,1,Grocery,6# CANS,12,CAN,6,OZ-wt,360,98,37.44,6/4/2017 12:00:00 AM,0
23,Roasted Bell Peppers,1,Grocery,6# CANS,12,CAN,6,OZ-wt,360,98,37.44,6/4/2017 12:00:00 AM,0
25,Tomato Juice,1,Grocery,12x48oz CANS,14,CAN,12,EA,12,100,15.79,6/4/2017 12:00:00 AM,0
25,Tomato Juice,1,Grocery,12x48oz CANS,14,CAN,12,EA,12,100,15.79,6/4/2017 12:00:00 AM,0
32,Sriracha,1,Grocery,12x17oz,2,BOTTLE,12,EA,12,100,25.89,6/4/2017 12:00:00 AM,0
32,Sriracha,1,Grocery,12x17oz,2,BOTTLE,12,EA,12,100,25.89,6/4/2017 12:00:00 AM,0
36,Olive Oil,1,Grocery,6 GAL,9,JUG,6,OZ-fl,768,99,50.8,6/4/2017 12:00:00 AM,0
36,Olive Oil,1,Grocery,6 GAL,9,JUG,6,OZ-fl,768,99,50.8,6/4/2017 12:00:00 AM,0
54,Yellow Onions,3,Produce,50lb,0,BAG,1,OZ-wt,800,85,16.59,6/4/2017 12:00:00 AM,0
54,Yellow Onions,3,Produce,50lb,0,BAG,1,OZ-wt,800,85,16.59,6/4/2017 12:00:00 AM,0
55,Red Onions,1,Produce,25lb,1.2,BAG,1,OZ-wt,400,8500,10.89,6/4/2017 12:00:00 AM,0
55,Red Onions,1,Produce,25lb,1.2,BAG,1,OZ-wt,400,8500,10.89,6/4/2017 12:00:00 AM,0
56,Potatoes,1,Produce,50lb,1.2,1/2 CASE,1,OZ-wt,800,850000,11.3,6/4/2017 12:00:00 AM,0
56,Potatoes,1,Produce,50lb,1.2,1/2 CASE,1,OZ-wt,800,850000,11.3,6/4/2017 12:00:00 AM,0
57,Spinach,1,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,15.75,6/4/2017 12:00:00 AM,0
57,Spinach,1,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,15.75,6/4/2017 12:00:00 AM,0
58,Mixed Greens,1,Produce,3lb,1,BAG,1,OZ-wt,48,9800,5.99,6/4/2017 12:00:00 AM,0
58,Mixed Greens,1,Produce,3lb,1,BAG,1,OZ-wt,48,9800,5.99,6/4/2017 12:00:00 AM,0
59,Mushrooms,3,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,18,6/4/2017 12:00:00 AM,0
59,Mushrooms,3,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,18,6/4/2017 12:00:00 AM,0
61,Tomatoes,2,Produce,25lb,0.2,CASE,1,OZ-wt,400,97,12.75,6/4/2017 12:00:00 AM,0
61,Tomatoes,2,Produce,25lb,0.2,CASE,1,OZ-wt,400,97,12.75,6/4/2017 12:00:00 AM,0
62,Avocado,1,Produce,60 COUNT,60,EACH,60,EA,24,10000,48.5,6/4/2017 12:00:00 AM,0
62,Avocado,1,Produce,60 COUNT,60,EACH,60,EA,24,10000,48.5,6/4/2017 12:00:00 AM,0
64,Fresh Basil,1,Produce,1lb,2,BAG,1,OZ-wt,16,65,8.3,6/4/2017 12:00:00 AM,0
64,Fresh Basil,1,Produce,1lb,2,BAG,1,OZ-wt,16,65,8.3,6/4/2017 12:00:00 AM,0
72,Chicken Breast,2,Poultry,40lb CASE,2,CASE,1,OZ-wt,640,85,76.55,6/4/2017 12:00:00 AM,0
72,Chicken Breast,2,Poultry,40lb CASE,2,CASE,1,OZ-wt,640,85,76.55,6/4/2017 12:00:00 AM,0
74,Italian Sausage,1,Meats,20lb CASE,12.5,BAG,4,OZ-wt,160,91,45.5,6/4/2017 12:00:00 AM,0
74,Italian Sausage,1,Meats,20lb CASE,12.5,BAG,4,OZ-wt,160,91,45.5,6/4/2017 12:00:00 AM,0
75,Bacon Bits,1,Meats,10lb CASE,4,BAG,2,OZ-wt,160,100,51.32,6/4/2017 12:00:00 AM,0
75,Bacon Bits,1,Meats,10lb CASE,4,BAG,2,OZ-wt,160,100,51.32,6/4/2017 12:00:00 AM,0
