Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,CASE 30lb,4,5lb BAG,6,OZ-wt,80,1,55.49,2,2/16/2018 12:00:00 AM,0
1,Cheddar,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,80,1,41.84,4,2/16/2018 12:00:00 AM,0
8,Eggs,Dairy,15 DOZEN,3.1,TRAY,6,EA,180,95,31.83,1,2/16/2018 12:00:00 AM,0
11,Pesto,Dairy,2/22lb,2,BAG,2,OZ-wt,4,970000,107.99,1,2/12/2018 12:00:00 AM,0
14,Stewed Tomatoes,Grocery,6# CANS,6,CAN,6,EA,1,1,15.79,1,2/6/2018 11:33:43 AM,0
19,Mayonnaise,Grocery,4 GAL,7,JUG,4,EA,4,10000,26.89,1,2/12/2018 12:00:00 AM,0
21,Macaroni,Grocery,20lb CASE,4,BAG,2,EA,160,2.41,17.82,4,2/16/2018 12:00:00 AM,0
25,Tomato Juice,Grocery,12x48oz CANS,24,CAN,12,EA,12,100,15.79,1,2/16/2018 12:00:00 AM,0
36,Olive Oil,Grocery,6 GAL,8,JUG,6,OZ-fl,128,1,50.2,1,2/16/2018 12:00:00 AM,0
54,Yellow Onions,Produce,20lbs,7,BAG,4,OZ-wt,800,85,16.59,7,2/16/2018 12:00:00 AM,0
56,Potatoes,Produce,50lb,0.5,1/2 CASE,1,OZ-wt,800,850000,16.75,1,2/16/2018 12:00:00 AM,0
57,Spinach,Produce,4x2.5lb,6,BAG,4,OZ-wt,160,99,16.5,3,2/16/2018 12:00:00 AM,0
58,Mixed Greens,Produce,3lb,0,BAG,1,OZ-wt,48,9800,5.99,1,2/16/2018 12:00:00 AM,0
59,Mushrooms,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,16.9,5,2/12/2018 12:00:00 AM,0
60,Cucumbers,Produce,36 COUNT,0.1,CASE,1,OZ-wt,420,950000,19.79,1,2/16/2018 12:00:00 AM,0
61,Tomatoes,Produce,25lb,0,CASE,1,OZ-wt,400,0.95,16.71,1,2/16/2018 12:00:00 AM,0
72,Chicken Breast,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,41.98,6,2/16/2018 12:00:00 AM,0
74,Italian Sausage,Meats,20lb CASE,11,BAG,4,OZ-wt,160,91,47.5,3,2/12/2018 12:00:00 AM,0
75,Bacon Bits,Meats,10lb CASE,0,BAG,2,OZ-wt,80,1,51.99,2,2/16/2018 12:00:00 AM,0
