Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,59.379,6,CASE 30lb,Dairy,0,5lb BAG,OZ-wt,80,1,2,1/14/2018 12:00:00 AM,0
1,Cheddar,41.69,4,CASE 20lb,Dairy,0,5lb BAG,OZ-wt,80,1,3,1/14/2018 12:00:00 AM,0
4,Butter,91.85,30,CASE 30lb,Dairy,0,1lb,OZ-wt,16,1,1,1/14/2018 12:00:00 AM,0
11,Pesto,106,2,2/22lb,Dairy,0,BAG,OZ-wt,4,970000,1,1/14/2018 12:00:00 AM,0
19,Mayonnaise,25.75,4,4 GAL,Grocery,0,JUG,EA,4,10000,1,1/14/2018 12:00:00 AM,0
21,Macaroni,17.72,2,20lb CASE,Grocery,0,BAG,EA,160,2.41,4,1/14/2018 12:00:00 AM,0
24,Chopped Clams,91,12,12x48oz CANS,Grocery,0,CAN,EA,12,100,1,1/14/2018 12:00:00 AM,0
25,Tomato Juice,15.79,12,12x48oz CANS,Grocery,0,CAN,EA,12,100,2,1/14/2018 12:00:00 AM,0
26,Clam Juice,33.79,12,12x48oz CANS,Grocery,0,CAN,EA,12,100,1,1/14/2018 12:00:00 AM,0
36,Olive Oil,50.8,6,6 GAL,Grocery,0,JUG,OZ-fl,128,99,2,1/14/2018 12:00:00 AM,0
54,Yellow Onions,16.95,4,20lbs,Produce,0,BAG,OZ-wt,800,85,6,1/14/2018 12:00:00 AM,0
56,Potatoes,17.47,1,50lb,Produce,0,1/2 CASE,OZ-wt,800,850000,1,1/14/2018 12:00:00 AM,0
57,Spinach,15.98,4,4x2.5lb,Produce,0,BAG,OZ-wt,160,99,2,1/14/2018 12:00:00 AM,0
58,Mixed Greens,5.99,1,3lb,Produce,0,BAG,OZ-wt,48,9800,2,1/14/2018 12:00:00 AM,0
59,Mushrooms,16.9,1,10lb CASE,Produce,0,FLAT,OZ-wt,160,95,4,1/14/2018 12:00:00 AM,0
62,Avocado,27.5,60,60 COUNT,Produce,0,EACH,EA,24,10000,1,1/14/2018 12:00:00 AM,0
63,Celery,31.5,24,24 COUNT,Produce,0,1/2 CASE,BUNCH,12,100,1,1/14/2018 12:00:00 AM,0
64,Fresh Basil,8.99,1,1lb,Produce,0,BAG,OZ-wt,16,65,1,1/14/2018 12:00:00 AM,0
66,Pineapple,16.99,6,6 COUNT,Produce,0,EACH,OZ-wt,44,100,2,1/14/2018 12:00:00 AM,0
71,Garlic Peeled,18.63,1,5lbs,Produce,0,JAR,OZ-wt,114.29,98,1,1/14/2018 12:00:00 AM,0
72,Chicken Breast,43.89,1,40lb CASE,Poultry,0,CASE,OZ-wt,640,85,3,1/14/2018 12:00:00 AM,0
73,Ground Beef,45.8,2,20lb CASE,Meats,0,LOG,EA,2,10000,1,1/14/2018 12:00:00 AM,0
74,Italian Sausage,47.95,4,20lb CASE,Meats,0,BAG,OZ-wt,160,91,3,1/14/2018 12:00:00 AM,0
75,Bacon Bits,53.49,2,10lb CASE,Meats,0,BAG,OZ-wt,80,1,2,1/14/2018 12:00:00 AM,0
